,categories_hierarchy,mega_cat
299,'en:cream-sauce-with-mushrooms',['LACTEOS' 'HORTALIZAS']
300,'en:cream-soups',['LACTEOS' 'HORTALIZAS']
301,'en:creams',['LACTEOS']
302,'en:creamy-almond-turron',['LACTEOS' 'LIPIDOS']
303,'en:creamy-peanut-turron',['LACTEOS' 'LIPIDOS']
304,'en:crema-catalana',[nan]
305,'en:crepes',[nan]
306,'en:crepes-and-galettes',[nan]
307,'en:crispbreads',['CEREALES']
308,'en:crisps',['CEREALES']
309,'en:croissants',[nan]
310,'en:croutons',[nan]
311,'en:crunchy-almond-turron',['LIPIDOS']
312,'en:crunchy-peanut-turron',['LIPIDOS']
313,'en:crustaceans',[nan]
314,'en:culinary-plants',[nan]
315,'en:cumin',[nan]
316,'en:cured-ham',['CARNE']
317,'en:cured-sausages',['CARNE']
318,'en:curry-powder',[nan]
319,'en:dairies',['LACTEOS']
320,'en:dairy-chocolate-desserts',['LIPIDOS' 'LACTEOS']
321,'en:dairy-desserts',['LACTEOS']
322,'en:dairy-drinks',['LACTEOS' 'BEBIDAS']
323,'en:dairy-spread',['LACTEOS']
324,'en:danish-cheeses',['LACTEOS']
325,'en:dark-chocolate-biscuits',['CEREALES' 'LIPIDOS']
326,'en:dark-chocolates',['LIPIDOS']
327,'en:dark-chocolates-with-almonds',['LIPIDOS' 'LEGUMBRES']
328,'en:dark-chocolates-with-cocoa-nibs',['LIPIDOS']
329,'en:dark-chocolates-with-hazelnuts',['LEGUMBRES' 'LIPIDOS']
330,'en:dark-chocolates-with-orange',['FRUTAS' 'LIPIDOS']
331,'en:dark-chocolates-with-sweeteners',['LIPIDOS']
332,'en:dates',[nan]
333,'en:decaffeinated-coffees',['BEBIDAS']
334,'en:decaffeinated-instant-coffees',['BEBIDAS']
335,'en:decaffeinated-teas',['BEBIDAS']
336,'en:decorticated-blonde-lentils',['LEGUMBRES']
337,'en:decorticated-lentils',['LEGUMBRES']
338,'en:dehydrated-broths',[nan]
339,'en:dehydrated-soups',['HORTALIZAS']
340,'en:dehydrated-vegetable-bouillons',['HORTALIZAS']
341,'en:dehydrated-vegetable-soups',['HORTALIZAS']
342,'en:dessert-creams',['LACTEOS']
343,'en:dessert-mixes',[nan]
344,'en:desserts',[nan]
345,'en:diet-beverages',['BEBIDAS']
346,'en:diet-cola-soft-drink',['BEBIDAS']
347,'en:diet-sodas',[nan]
348,'en:dietary-supplements',[nan]
349,'en:digestives-covered-with-chocolate',['LIPIDOS']
350,'en:dijon-mustards',[nan]
351,'en:dill',[nan]
352,'en:dips',[nan]
353,'en:dragees',[nan]
354,'en:dried-apples',['LEGUMBRES' 'FRUTAS']
355,'en:dried-apricots',['LEGUMBRES']
356,'en:dried-arame-seaweed',['LEGUMBRES']
357,'en:dried-aromatic-plants',['LEGUMBRES']
358,'en:dried-bay-laurel',['LEGUMBRES']
359,'en:dried-coconut',['LEGUMBRES']
360,'en:dried-coconut-flour',['LEGUMBRES']
361,'en:dried-cranberries',['LEGUMBRES' 'FRUTAS']
362,'en:dried-fig-cakes',['LEGUMBRES' 'CEREALES']
363,'en:dried-figs',['LEGUMBRES']
364,'en:dried-fruits',['LEGUMBRES' 'FRUTAS']
365,'en:dried-hams',['LEGUMBRES' 'CARNE']
366,'en:dried-mangoes',['LEGUMBRES']
367,'en:dried-meals',['LEGUMBRES']
368,'en:dried-mixed-fruits',['LEGUMBRES' 'FRUTAS']
369,'en:dried-pineapple',['LEGUMBRES' 'FRUTAS']
370,'en:dried-plant-based-foods',['LEGUMBRES']
371,'en:dried-products',['LEGUMBRES']
372,'en:dried-products-to-be-rehydrated',['LEGUMBRES']
373,'en:dried-prunes',['LEGUMBRES']
374,'en:dried-seaweeds',['LEGUMBRES']
375,'en:dried-vegetables',['LEGUMBRES' 'HORTALIZAS']
376,'en:drinkable-yogurts',['LACTEOS' 'BEBIDAS']
377,'en:drop-cookies',[nan]
378,'en:dry-biscuits',['CEREALES']
379,'en:dry-pasta',['CEREALES']
380,'en:duck-dishes',[nan]
381,'en:duck-pates',['CEREALES']
382,'en:ducks',[nan]
383,'en:durum-wheat-macaroni',['CARNE' 'CEREALES']
384,'en:durum-wheat-noodles',['CARNE' 'CEREALES']
385,'en:durum-wheat-pasta',['CARNE' 'CEREALES']
386,'en:durum-wheat-pasta-with-egg',['CARNE' 'CEREALES']
387,'en:durum-wheat-penne',['CARNE' 'CEREALES']
388,'en:durum-wheat-plates-for-cannelloni',['CARNE' 'CEREALES']
389,'en:durum-wheat-semolinas',['CARNE' 'CEREALES']
390,'en:durum-wheat-spaghetti',['CARNE' 'CEREALES']
391,'en:easter-eggs',['CARNE']
392,'en:easter-food',[nan]
393,'en:eastern-tabbouleh',[nan]
394,'en:egg-free-mayonnaises',['CARNE']
395,'en:egg-noodles',['CARNE']
396,'en:egg-spaghetti',['CARNE']
397,'en:egg-tagliatelle',['CARNE']
398,'en:eggs',['CARNE']
399,'en:emmentaler',[nan]
400,'en:endives',[nan]
401,'en:energy-drinks',['BEBIDAS']
402,'en:eucalyptus-honeys',['LIPIDOS']
403,'en:evaporated-milks',['LACTEOS']
404,'en:extra-fine-dark-chocolates',['LIPIDOS']
405,'en:extra-virgin-olive-oils',['LIPIDOS']
406,'en:extruded-flakes',[nan]
407,'en:fajitas',[nan]
408,'en:falafels',[nan]
409,'en:farming-products',[nan]
410,'en:fats',[nan]
411,'en:fennel',[nan]
412,'en:fermented-drinks',['BEBIDAS']
413,'en:fermented-foods',[nan]
414,'en:fermented-milk-drinks',['LACTEOS' 'BEBIDAS']
415,'en:fermented-milk-products',['LACTEOS']
416,'en:feta',[nan]
417,'en:field-horsetail',[nan]
418,'en:filled-biscuits',['CEREALES']
419,'en:filled-cereals',['CEREALES']
420,'en:filled-chocolates',['LIPIDOS']
421,'en:filled-dark-chocolates',['LIPIDOS']
422,'en:fine-mustards',[nan]
423,'en:fish-and-meat-and-eggs',['CARNE' 'PESCADO']
424,'en:fish-eggs',['PESCADO' 'CARNE']
425,'en:fish-fillets',['PESCADO' 'CARNE']
426,'en:fish-preparations',['PESCADO']
427,'en:fishes',['PESCADO']
428,'en:flakes',[nan]
429,'en:flaky-biscuits',['CEREALES']
430,'en:flans',[nan]
431,'en:flatbreads',['CEREALES']
432,'en:flavored-teas',['BEBIDAS']
433,'en:flavors',[nan]
434,'en:flavoured-milks',['LACTEOS']
435,'en:flavoured-potato-crisps',['CEREALES']
436,'en:flavoured-syrups',['LIPIDOS']
437,'en:flavoured-yogurts',['LACTEOS']
438,'en:flax-seeds',['LEGUMBRES']
439,'en:flours',[nan]
440,'en:flower-honeys',['LIPIDOS']
441,'en:foies-gras',[nan]
442,'en:foies-gras-from-ducks',[nan]
443,'en:food-additives',[nan]
444,'en:food-colorings',[nan]
445,'en:food-decorations',[nan]
446,'en:four-cheese-pizza',['LACTEOS']
447,'en:frankfurter-sausages',['CARNE']
448,'en:french-blue-veined-cheeses',['LACTEOS']
449,'en:french-sausages',['CARNE']
450,'en:fresh-broad-green-beans',['LEGUMBRES']
451,'en:fresh-broccoli',['HORTALIZAS']
452,'en:fresh-cheeses',['LACTEOS']
453,'en:fresh-flat-green-beans',['LEGUMBRES']
454,'en:fresh-foods',[nan]
455,'en:fresh-green-beans',['LEGUMBRES']
456,'en:fresh-legumes',['HORTALIZAS']
457,'en:fresh-meat-preparations',['CARNE']
458,'en:fresh-meats',['CARNE']
459,'en:fresh-milks',['LACTEOS']
460,'en:fresh-plant-based-foods',[nan]
461,'en:fresh-spinachs',['HORTALIZAS']
462,'en:fresh-stevia',[nan]
463,'en:fresh-vegetable-mixes',['HORTALIZAS']
464,'en:fresh-vegetables',['HORTALIZAS']
465,'en:fried-foods',[nan]
466,'en:fried-onions',['HORTALIZAS']
467,'en:fried-plant-based-foods',[nan]
468,'en:fried-tomato-sauces',['HORTALIZAS']
469,'en:frozen-aromatic-plants',[nan]
470,'en:frozen-artichoke-hearts',[nan]
471,'en:frozen-artichokes',['HORTALIZAS']
472,'en:frozen-asparagus',['HORTALIZAS']
473,'en:frozen-baby-artichokes',['HORTALIZAS']
474,'en:frozen-baby-carrots',['HORTALIZAS']
475,'en:frozen-berries',['FRUTAS']
476,'en:frozen-blueberries',['FRUTAS']
477,'en:frozen-broccoli-florets',['HORTALIZAS']
478,'en:frozen-brussels-sprouts',[nan]
479,'en:frozen-cardoons',[nan]
480,'en:frozen-carrots',['HORTALIZAS']
481,'en:frozen-cauliflower-florets',[nan]
482,'en:frozen-cereals',['CEREALES']
483,'en:frozen-chard-leaves',[nan]
484,'en:frozen-chards',[nan]
485,'en:frozen-chickpeas',['LEGUMBRES']
486,'en:frozen-chopped-artichokes',['HORTALIZAS']
487,'en:frozen-chopped-carrots',['HORTALIZAS']
488,'en:frozen-chopped-garlic',[nan]
489,'en:frozen-chopped-green-asparagus',['HORTALIZAS']
490,'en:frozen-chopped-green-beans',['LEGUMBRES']
491,'en:frozen-chopped-onions',['HORTALIZAS']
492,'en:frozen-chopped-spinachs',['HORTALIZAS']
493,'en:frozen-corn',['CEREALES']
494,'en:frozen-corn-kernels',['CEREALES']
495,'en:frozen-desserts',[nan]
496,'en:frozen-diced-zucchinis',[nan]
497,'en:frozen-fishes',['PESCADO']
498,'en:frozen-foods',[nan]
499,'en:frozen-fresh-broad-beans',['LEGUMBRES']
500,'en:frozen-fried-potatoes',[nan]
501,'en:frozen-fruits',['FRUTAS']
502,'en:frozen-green-asparagus',['HORTALIZAS']
503,'en:frozen-green-beans',['LEGUMBRES']
504,'en:frozen-green-garlic',[nan]
505,'en:frozen-green-peas',[nan]
506,'en:frozen-horchatas-de-chufa',[nan]
507,'en:frozen-legumes',['HORTALIZAS']
508,'en:frozen-lima-beans',['LEGUMBRES']
509,'en:frozen-meat-preparations',['CARNE']
510,'en:frozen-meats',['CARNE']
511,'en:frozen-mixed-berries',['FRUTAS']
512,'en:frozen-mixed-fruits',['FRUTAS']
513,'en:frozen-mixed-mushrooms',['HORTALIZAS']
514,'en:frozen-mixed-peppers',['LEGUMBRES']
515,'en:frozen-mushrooms',['HORTALIZAS']
516,'en:frozen-parsley',[nan]
517,'en:frozen-peppers',['LEGUMBRES']
518,'en:frozen-pineapples',['FRUTAS']
519,'en:frozen-pizzas',[nan]
520,'en:frozen-pizzas-and-pies',[nan]
521,'en:frozen-plant-based-foods',[nan]
522,'en:frozen-plant-based-foods-mixes',[nan]
523,'en:frozen-potatoes',[nan]
524,'en:frozen-pre-cooked-rice',['CEREALES']
525,'en:frozen-ready-made-meals',[nan]
526,'en:frozen-salads',['HORTALIZAS']
527,'en:frozen-seafood',[nan]
528,'en:frozen-spinachs',['HORTALIZAS']
529,'en:frozen-strawberries',['FRUTAS']
530,'en:frozen-tropical-fruits',['FRUTAS']
531,'en:frozen-vegetable-mixes',['HORTALIZAS']
532,'en:frozen-vegetables',['HORTALIZAS']
533,'en:frozen-vegetables-for-paella',['HORTALIZAS']
534,'en:frozen-zucchini',[nan]
535,'en:fructose',[nan]
536,'en:fruit-and-fruit-seed-oils',['FRUTAS' 'LIPIDOS']
537,'en:fruit-and-milk-beverages',['LACTEOS' 'FRUTAS' 'BEBIDAS']
538,'en:fruit-and-soy-beverages',['FRUTAS' 'BEBIDAS']
539,'en:fruit-and-vegetable-preserves',['HORTALIZAS' 'FRUTAS']
540,'en:fruit-based-beverages',['FRUTAS' 'BEBIDAS']
541,'en:fruit-jams',['FRUTAS' 'LIPIDOS']
542,'en:fruit-juices',['FRUTAS']
543,'en:fruit-nectars',['FRUTAS']
544,'en:fruit-pastes',['FRUTAS']
545,'en:fruit-salads',['FRUTAS' 'HORTALIZAS']
546,'en:fruit-salads-in-syrup',['FRUTAS' 'HORTALIZAS']
547,'en:fruit-sodas',['FRUTAS']
548,'en:fruit-soy-yogurts',['LACTEOS' 'FRUTAS']
549,'en:fruit-teas',['FRUTAS' 'BEBIDAS']
550,'en:fruit-turron',['FRUTAS' 'LIPIDOS']
551,'en:fruit-yogurts',['LACTEOS' 'FRUTAS']
552,'en:fruit-yogurts-with-fruit-chunks',['LACTEOS' 'FRUTAS']
553,'en:fruits',['FRUTAS']
